Filename	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-60.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-57.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-54.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-51.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-48.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-45.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-42.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-39.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-36.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-33.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-30.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-27.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-24.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-21.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-18.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-15.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-12.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-09.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-06.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-03.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\0.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\03.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\06.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\09.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\12.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\15.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\18.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\21.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\24.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\27.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\30.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\33.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\36.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\39.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\42.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\45.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\48.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\51.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\54.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\57.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\60.mcc
Sym 80%	100.478	100.358	100.356	100.428	100.438	100.429	100.400	100.421	100.438	100.519	100.492	100.463	100.547	100.469	100.452	100.492	100.491	100.458	100.484	100.482	100.507	100.518	100.447	100.550	100.516	100.442	100.547	100.493	100.504	100.439	100.524	100.549	100.521	100.509	100.540	100.515	100.543	100.525	100.564	100.484	100.523
FldPoint 20%	99.894	99.880	99.974	99.955	99.915	99.983	100.028	100.006	100.040	100.076	100.094	100.136	100.057	100.142	100.144	100.185	100.186	100.188	100.191	100.220	100.263	100.178	100.193	100.301	100.273	100.239	100.240	100.220	100.281	100.253	100.284	100.232	100.328	100.220	100.319	100.307	100.220	100.292	100.241	100.194	100.171
FldPoint 50%	98.709	98.736	98.827	98.816	98.790	98.875	98.896	98.874	98.880	98.954	98.915	98.970	98.933	99.004	98.962	99.019	99.058	99.025	99.037	99.095	99.175	99.064	99.085	99.169	99.132	99.151	99.117	99.095	99.132	99.131	99.147	99.088	99.232	99.094	99.157	99.141	99.078	99.121	99.051	98.967	99.005
FldPoint 60%	98.465	98.492	98.561	98.528	98.535	98.611	98.656	98.626	98.657	98.639	98.665	98.720	98.665	98.779	98.707	98.772	98.801	98.795	98.791	98.843	98.876	98.809	98.843	98.862	98.878	98.880	98.871	98.824	98.854	98.820	98.899	98.843	98.898	98.786	98.902	98.885	98.805	98.836	98.785	98.746	98.724
FldPoint 80%	96.401	96.427	96.474	96.468	96.433	96.534	96.515	96.515	96.534	96.591	96.608	96.610	96.593	96.655	96.595	96.704	96.712	96.671	96.752	96.703	96.782	96.700	96.732	96.806	96.771	96.761	96.735	96.709	96.772	96.742	96.770	96.721	96.791	96.675	96.780	96.757	96.690	96.792	96.689	96.647	96.597
FldPoint -5 cm	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FldPoint -10 cm	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FldPoint -12 cm	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Tilt	-0.9113	-0.9966	-0.9993	-0.9841	-0.9510	-0.9418	-0.9940	-1.0026	-0.9480	-0.9600	-1.0154	-0.9654	-1.0165	-0.9622	-0.9271	-0.9944	-0.9430	-1.0233	-0.9614	-0.9974	-0.9858	-0.9650	-1.0297	-1.0410	-1.0217	-0.9921	-0.9979	-0.9429	-0.9878	-1.0417	-0.9856	-0.9434	-0.9163	-0.9298	-1.0585	-0.9737	-0.9890	-0.9416	-0.9790	-0.9748	-1.0036
PeakPos	-8.05	-9.24	-9.00	-7.23	-7.23	-8.27	-8.59	-8.48	-8.17	-8.07	-8.41	-8.10	-7.40	-8.56	-8.33	-8.14	-6.16	-9.18	-7.85	-9.01	-8.32	-8.47	-10.28	-8.50	-8.81	-8.39	-9.34	-7.65	-9.48	-8.41	-7.50	-7.83	-7.71	-8.59	-9.24	-9.14	-8.80	-8.39	-8.50	-9.31	-9.10
PeakPos 12 cm	-2.57	-2.37	-2.83	-1.78	-1.87	-2.15	-2.69	-2.47	-2.93	-2.53	-2.17	-2.49	-2.35	-2.05	-1.82	-2.10	-2.24	-1.51	-2.51	-1.68	-1.98	-3.04	-2.36	-2.14	-2.29	-2.18	-2.10	-1.58	-2.69	-1.89	-0.79	-1.04	-1.40	-1.67	-1.55	-1.49	-1.69	-2.04	-1.20	-1.16	-1.94
TopPos (mm)	0.27	0.29	0.40	0.34	0.34	0.39	0.33	0.33	0.30	0.40	0.24	0.35	0.75	0.38	0.32	0.30	0.49	0.46	0.52	0.44	0.35	0.35	0.36	0.29	0.27	0.00	0.25	0.29	0.18	0.22	0.27	0.08	0.19	-0.03	0.00	0.01	0.08	0.09	0.08	0.05	0.08
MeanDose 80%	0.98919	0.98950	0.99002	0.99005	0.98983	0.99059	0.99074	0.99051	0.99083	0.99126	0.99121	0.99157	0.99122	0.99197	0.99155	0.99215	0.99247	0.99229	0.99249	0.99255	0.99320	0.99245	0.99269	0.99335	0.99311	0.99309	0.99292	0.99271	0.99314	0.99306	0.99336	0.99278	0.99368	0.99260	0.99343	0.99326	0.99249	0.99318	0.99253	0.99193	0.99189
FWHM FSL (mm)	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FWHM CAXL (mm)	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Infl_L (mm)	50.39	50.38	50.38	50.37	50.37	50.37	50.37	50.36	50.36	50.36	50.36	50.36	50.36	50.35	50.35	50.35	50.34	50.34	50.35	50.35	50.35	50.34	50.34	50.34	50.34	50.33	50.33	50.33	50.32	50.32	50.32	50.32	50.31	50.31	50.32	50.31	50.31	50.31	50.31	50.31	50.31
Infl_R (mm)	49.70	49.72	49.72	49.72	49.73	49.73	49.72	49.73	49.73	49.73	49.73	49.74	49.73	49.74	49.74	49.74	49.74	49.75	49.74	49.75	49.75	49.75	49.75	49.75	49.76	49.76	49.76	49.77	49.77	49.77	49.77	49.77	49.77	49.78	49.78	49.77	49.78	49.78	49.78	49.79	49.79
% Infl L.	0.5340	0.5345	0.5349	0.5346	0.5346	0.5347	0.5350	0.5349	0.5352	0.5352	0.5353	0.5354	0.5351	0.5359	0.5352	0.5356	0.5358	0.5357	0.5360	0.5357	0.5360	0.5358	0.5359	0.5362	0.5359	0.5360	0.5358	0.5356	0.5360	0.5360	0.5359	0.5356	0.5360	0.5353	0.5358	0.5358	0.5354	0.5359	0.5352	0.5350	0.5348
% Infl R.	0.5367	0.5365	0.5369	0.5369	0.5370	0.5372	0.5375	0.5373	0.5375	0.5378	0.5379	0.5380	0.5382	0.5383	0.5378	0.5386	0.5387	0.5386	0.5388	0.5387	0.5391	0.5385	0.5387	0.5393	0.5389	0.5389	0.5389	0.5385	0.5388	0.5387	0.5391	0.5388	0.5391	0.5383	0.5390	0.5389	0.5386	0.5389	0.5386	0.5382	0.5378
Penumbra Width Infl L. (mm)	5.66	5.64	5.63	5.64	5.64	5.63	5.62	5.63	5.64	5.62	5.64	5.64	5.62	5.63	5.62	5.62	5.62	5.64	5.62	5.63	5.62	5.61	5.64	5.63	5.61	5.60	5.62	5.63	5.62	5.62	5.61	5.61	5.62	5.62	5.61	5.63	5.61	5.62	5.59	5.59	5.60
Penumbra Width Infl R.(mm)	5.40	5.38	5.39	5.40	5.40	5.38	5.39	5.40	5.39	5.39	5.41	5.41	5.40	5.38	5.41	5.41	5.40	5.40	5.39	5.40	5.40	5.40	5.39	5.40	5.40	5.41	5.41	5.39	5.41	5.43	5.41	5.41	5.43	5.43	5.41	5.43	5.41	5.41	5.40	5.39	5.39
Penumbra Width 50% L. (mm)	5.15	5.13	5.12	5.12	5.12	5.11	5.11	5.12	5.12	5.10	5.12	5.11	5.11	5.10	5.11	5.10	5.10	5.11	5.10	5.10	5.09	5.09	5.11	5.10	5.09	5.08	5.09	5.10	5.09	5.10	5.09	5.09	5.09	5.10	5.09	5.10	5.09	5.09	5.07	5.08	5.08
Penumbra Width 50% R.(mm)	4.88	4.87	4.88	4.88	4.88	4.87	4.87	4.88	4.87	4.87	4.89	4.88	4.88	4.86	4.88	4.88	4.87	4.87	4.85	4.87	4.86	4.87	4.86	4.86	4.87	4.88	4.87	4.86	4.88	4.89	4.87	4.87	4.89	4.90	4.88	4.89	4.88	4.87	4.87	4.87	4.87
Raw YVal.(Gy))	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
EdgePar_L_A	0.866	0.867	0.867	0.867	0.866	0.867	0.867	0.867	0.867	0.868	0.868	0.868	0.867	0.868	0.868	0.868	0.868	0.868	0.869	0.869	0.869	0.868	0.869	0.869	0.869	0.869	0.869	0.869	0.869	0.869	0.869	0.868	0.870	0.869	0.869	0.869	0.868	0.869	0.868	0.868	0.868
EdgePar_L_B	-50.477	-50.464	-50.462	-50.460	-50.452	-50.452	-50.455	-50.447	-50.445	-50.450	-50.447	-50.447	-50.446	-50.440	-50.439	-50.434	-50.430	-50.429	-50.434	-50.434	-50.436	-50.429	-50.427	-50.426	-50.422	-50.418	-50.420	-50.415	-50.409	-50.408	-50.408	-50.405	-50.401	-50.400	-50.403	-50.400	-50.399	-50.395	-50.397	-50.394	-50.391
EdgePar_L_C	33.899	34.006	34.061	34.041	34.056	34.088	34.152	34.059	34.107	34.123	33.989	34.058	34.162	34.117	34.082	34.115	34.145	34.064	34.135	34.082	34.108	34.234	34.038	34.059	34.170	34.223	34.137	34.030	34.104	34.084	34.106	34.157	34.073	34.031	34.131	34.021	34.125	34.110	34.259	34.249	34.197
EdgePar_L_D	0.088	0.088	0.089	0.088	0.089	0.088	0.089	0.089	0.089	0.089	0.088	0.089	0.089	0.089	0.088	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.088	0.089	0.089	0.088	0.089	0.088	0.088	0.088	0.088	0.089	0.089	0.088	0.088	0.088
EdgePar_R_A	0.869	0.869	0.870	0.870	0.869	0.870	0.870	0.870	0.870	0.871	0.871	0.871	0.871	0.871	0.871	0.872	0.871	0.871	0.872	0.871	0.872	0.872	0.872	0.873	0.872	0.872	0.872	0.871	0.873	0.872	0.872	0.872	0.873	0.872	0.873	0.873	0.872	0.873	0.872	0.871	0.871
EdgePar_R_B	49.784	49.800	49.803	49.803	49.806	49.812	49.801	49.810	49.813	49.809	49.813	49.816	49.815	49.821	49.822	49.823	49.824	49.827	49.823	49.828	49.826	49.829	49.832	49.832	49.840	49.842	49.839	49.848	49.852	49.849	49.851	49.850	49.856	49.860	49.856	49.856	49.860	49.862	49.865	49.865	49.874
EdgePar_R_C	35.140	35.265	35.181	35.168	35.184	35.280	35.275	35.167	35.226	35.209	35.084	35.129	35.176	35.332	35.135	35.106	35.191	35.251	35.304	35.242	35.258	35.220	35.272	35.198	35.172	35.106	35.147	35.277	35.076	35.011	35.188	35.186	35.013	34.983	35.117	35.014	35.127	35.119	35.185	35.247	35.238
EdgePar_R_D	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.091	0.090	0.090	0.091	0.091	0.091	0.091	0.091	0.090	0.091	0.091	0.090	0.090	0.090	0.091	0.090	0.090	0.091	0.091	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090	0.090
GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT	GT
FWHM Field (mm)	99.877	99.867	99.866	99.850	99.849	99.862	99.872	99.871	99.901	99.892	99.888	99.867	99.854	99.854	99.858	99.862	99.876	99.876	99.873	99.870	99.866	99.849	99.850	99.860	99.863	99.863	99.869	99.875	99.838	99.827	99.823	99.813	99.806	99.806	99.817	99.819	99.822	99.831	99.848	99.849	99.843
Infl Field (mm)	99.215	99.215	99.223	99.210	99.209	99.209	99.212	99.203	99.208	99.214	99.219	99.212	99.207	99.204	99.205	99.201	99.205	99.201	99.209	99.214	99.211	99.213	99.214	99.221	99.222	99.217	99.213	99.217	99.208	99.210	99.210	99.210	99.213	99.210	99.214	99.203	99.196	99.188	99.202	99.213	99.223
FWHM CAX (mm)	-6.753	-6.495	-6.209	-5.907	-5.601	-5.314	-5.019	-4.712	-4.406	-4.092	-3.795	-3.501	-3.197	-2.894	-2.597	-2.302	-2.020	-1.733	-1.412	-1.113	-0.814	-0.514	-0.199	0.125	0.407	0.723	1.034	1.315	1.626	1.918	2.259	2.515	2.805	3.098	3.395	3.727	4.026	4.315	4.627	4.918	5.224
Infl CAX (mm)	-6.740	-6.484	-6.201	-5.906	-5.605	-5.322	-5.028	-4.723	-4.382	-4.066	-3.771	-3.481	-3.183	-2.884	-2.594	-2.302	-2.026	-1.742	-1.382	-1.084	-0.787	-0.494	-0.184	0.134	0.407	0.721	1.035	1.314	1.656	1.947	2.289	2.540	2.822	3.109	3.402	3.730	4.027	4.316	4.664	4.949	5.256
Flat (IEC)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	107.920	107.585	107.242	106.832	106.573	106.286	106.003	105.764	105.485	105.226	105.061	104.905	104.697	104.662	104.413	104.160	104.116	104.015	104.057	103.905	104.094	104.337	104.446	104.774	105.165	105.388	105.614	105.959	106.298	106.597	0.000	0.000	0.000
Sym (IEC)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	102.779	102.818	102.557	102.269	102.222	101.998	101.866	101.738	101.434	101.447	101.260	101.231	101.063	100.986	101.004	100.942	100.684	100.784	100.837	100.819	100.650	100.740	100.672	100.848	101.142	101.433	101.537	101.702	101.911	101.954	0.000	0.000	0.000
Sym (Int)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.352	1.343	1.264	1.121	1.122	1.037	0.996	0.921	0.791	0.701	0.651	0.610	0.573	0.412	0.442	0.358	0.160	0.204	0.258	0.207	0.060	-0.079	0.038	-0.130	-0.229	-0.362	-0.364	-0.397	-0.514	-0.488	0.000	0.000	0.000
Sym 20%	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.041	100.007	100.061	100.074	100.056	100.091	100.024	100.050	100.051	100.075	100.056	100.048	100.012	100.087	100.050	100.004	100.008	100.000	100.077	100.048	100.009	100.057	100.081	100.057	100.127	100.044	100.092	100.134	100.182	100.156	0.000	0.000	0.000
Sym 50%	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	101.196	101.142	101.111	101.030	101.100	101.031	100.999	100.988	100.810	100.779	100.740	100.776	100.806	100.631	100.731	100.650	100.428	100.524	100.624	100.606	100.483	100.389	100.566	100.411	100.282	100.220	100.264	100.271	100.181	100.285	0.000	0.000	0.000
Sym 60%	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	101.970	101.927	101.873	101.724	101.765	101.683	101.609	101.544	101.385	101.447	101.260	101.231	101.063	100.964	101.004	100.942	100.684	100.732	100.818	100.814	100.650	100.417	100.623	100.574	100.291	100.168	100.139	100.188	100.036	100.053	0.000	0.000	0.000
Sym 80%	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	107.888	107.160	106.447	105.765	105.272	104.789	104.306	103.844	103.316	102.868	102.503	102.178	101.880	101.419	101.158	100.745	100.214	100.053	100.102	100.443	100.885	101.378	101.593	102.146	102.675	103.260	103.643	104.297	105.031	105.585	0.000	0.000	0.000
FldPoint 20%	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.409	100.381	100.445	100.391	100.402	100.447	100.462	100.439	100.473	100.463	100.421	100.462	100.551	100.459	100.508	100.600	100.554	100.565	100.542	100.514	100.042	99.968	100.083	100.048	100.017	100.029	100.065	100.074	100.024	100.156	0.000	0.000	0.000
FldPoint 50%	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.393	99.350	99.413	99.353	99.337	99.378	99.365	99.349	99.353	99.352	99.319	99.343	99.413	99.301	99.327	99.381	99.354	99.334	99.321	99.312	98.849	98.768	98.873	98.858	98.833	98.863	98.865	98.876	98.855	98.990	0.000	0.000	0.000
FldPoint 60%	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	98.978	98.980	99.013	98.994	98.983	99.036	99.043	99.030	99.036	99.080	98.999	99.017	99.097	99.024	99.022	99.109	99.056	99.056	99.030	99.021	98.544	98.464	98.567	98.555	98.488	98.556	98.531	98.539	98.456	98.576	0.000	0.000	0.000
FldPoint 80%	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	94.990	95.232	95.469	95.563	95.746	95.919	96.058	96.115	96.227	96.271	96.277	96.313	96.426	96.318	96.399	96.472	96.414	96.351	96.312	96.264	95.755	95.620	95.629	95.497	95.333	95.231	95.113	94.923	94.715	94.569	0.000	0.000	0.000
FldPoint -5 cm	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FldPoint -10 cm	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
FldPoint -12 cm	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Tilt	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.9506	1.9088	1.8553	1.7096	1.7492	1.6690	1.5960	1.5323	1.3755	1.4365	1.2524	1.2237	1.0576	0.9598	0.9992	0.9371	0.6819	0.7292	0.8151	0.8111	0.6476	0.4164	0.6214	0.5721	0.2904	0.1681	0.1394	0.1874	0.0363	0.0530	0.0000	0.0000	0.0000
PeakPos	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.10	4.48	3.51	4.40	3.72	3.77	3.91	4.30	3.34	4.97	4.46	4.15	4.14	4.37	3.56	6.38	6.29	7.33	7.18	7.69	8.27	9.14	8.74	10.30	8.21	10.22	8.77	8.20	9.06	8.44	0.00	0.00	0.00
PeakPos 12 cm	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-41.30	-38.40	-35.28	-32.26	-28.64	-26.11	-23.16	-20.43	-17.76	-14.92	-12.30	-9.93	-7.00	-4.80	-1.75	1.42	4.31	6.31	9.50	11.52	14.79	17.80	21.17	22.60	25.41	28.58	31.31	35.08	38.48	41.19	0.00	0.00	0.00
TopPos (mm)	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-6.11	-6.19	-6.20	-5.34	-5.53	-5.31	-5.07	-4.86	-3.97	-3.64	-3.70	-3.50	-3.75	-2.53	-3.01	-2.60	-1.26	-1.76	-2.38	-2.26	-1.36	-0.60	-1.60	-0.61	-0.35	0.37	0.04	-0.04	0.44	0.00	0.00	0.00	0.00
MeanDose 80%	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.99362	0.99340	0.99393	0.99342	0.99348	0.99393	0.99396	0.99385	0.99407	0.99390	0.99343	0.99356	0.99427	0.99356	0.99379	0.99447	0.99405	0.99403	0.99386	0.99358	0.98884	0.98820	0.98931	0.98894	0.98837	0.98864	0.98874	0.98893	0.98842	0.98949	0.00000	0.00000	0.00000
